<http://www.ois.org/guitar-group#GuitarDescription/Epiphone/SG_G-400_PRO_CH_%28LH%29>,2
<http://www.ois.org/guitar-group#GuitarDescription/Gretsch/Electromatic_Collection_CVT_III_Cherry>,3
